Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
2,P1,2,8,7,11,4,2,1,2,7,11,4,2,2,2,build,Archery Range,17,0.5,0.5
3,P2,2,10,7,11,4,2,1,2,3,12,4,3,2,2,build,Statue,18,0.5,0.5
4,P1,2,10,7,12,4,2,1,2,3,12,4,3,2,2,build,Glass-Blower,15,0.5,0.5
5,P2,2,10,7,12,4,2,1,2,3,13,4,3,2,3,build,Parade Ground,14,0.5,0.5
6,P1,2,8,7,13,4,2,2,2,3,13,4,3,2,3,build,Dispensary,16,0.5,0.5
7,P2,2,8,7,13,4,2,2,2,3,14,4,3,3,3,build,School,11,0.5,0.5
8,P1,2,8,7,14,4,2,3,2,3,14,4,3,3,3,build,Library,13,0.5,0.5
9,P2,2,8,7,14,4,2,3,2,3,15,4,3,3,3,build,Forum,6,0.5,0.5
10,P1,2,8,7,15,4,3,3,2,3,15,4,3,3,3,build,Courthouse,0,0.5,0.5
11,P2,2,8,7,15,4,3,3,2,3,16,4,3,3,3,build,Sawmill,9,0.5,0.5
12,P1,2,8,7,16,4,3,3,2,3,16,4,3,3,3,build,Drying Room,12,0.5,0.5
13,P2,2,8,7,16,4,3,3,2,3,17,4,3,3,4,build,Walls,7,0.5,0.5
14,P1,2,6,7,17,4,3,3,2,3,17,4,3,3,4,build,Brickyard,1,0.5,0.5
15,P2,2,6,7,17,4,3,3,2,0,18,4,4,3,4,build,Aqueduct,10,0.5,0.5
16,P1,2,6,7,18,4,3,3,2,0,18,4,4,3,4,build,Shelf Quarry,8,0.5,0.5
17,P2,2,6,7,18,4,3,3,2,0,19,4,4,3,5,build,Horse Breeders,5,0.5,0.5
18,P1,2,5,7,19,4,3,4,2,0,19,4,4,3,5,build,Laboratory,4,0.5,0.5
19,P2,2,5,7,19,4,3,4,2,0,20,4,4,3,5,build,Customs House,3,0.5,0.5
20,P1,2,5,7,20,4,3,4,2,0,20,4,4,3,5,build,Caravansery,2,0.5,0.5
1,P2,3,5,7,20,4,3,4,2,0,21,4,4,3,5,build,Shipowners Guild,18,0.5,0.5
2,P1,3,5,7,21,4,3,4,2,0,21,4,4,3,5,build,Lighthouse,15,0.5,0.5
3,P2,3,5,7,21,4,3,4,2,0,22,4,5,3,5,build,Town Hall,19,0.5,0.5
4,P1,3,5,7,22,4,3,4,3,0,22,4,5,3,5,build,Fortifications,11,0.5,0.5
5,P2,3,7,7,22,4,3,4,3,0,23,4,6,3,5,build,Pantheon,16,0.5,0.5
6,P1,3,7,7,23,4,3,4,3,0,23,4,6,3,5,build,Armory,17,0.5,0.5
7,P2,3,7,7,23,4,3,4,3,0,24,4,6,4,5,build,Academy,12,0.5,0.5
8,P1,3,7,7,24,4,4,4,3,0,24,4,6,4,5,build,Palace,9,0.5,0.5
9,P2,3,7,7,24,4,4,4,3,0,25,4,7,4,5,build,Gardens,6,0.5,0.5
10,P1,3,7,7,25,4,4,5,3,0,25,4,7,4,5,build,Observatory,14,0.5,0.5
11,P2,3,7,7,25,4,4,5,3,0,26,4,7,4,6,build,Circus,5,0.5,0.5
12,P1,3,5,7,26,4,4,5,3,0,26,4,7,4,6,build,Scientists Guild,2,0.5,0.5
13,P2,3,5,7,26,4,4,5,3,0,27,4,8,4,6,build,Obelisk,13,0.5,0.5
14,P1,3,5,7,27,4,4,6,3,0,27,4,8,4,6,build,Study,10,0.5,0.5
15,P2,3,5,7,27,4,4,6,3,0,28,4,8,4,7,build,Pretorium,8,0.5,0.5
16,P1,3,2,7,28,4,4,6,3,0,28,4,8,4,7,build,Moneylenders Guild,7,0.5,0.5
17,P2,3,2,7,28,4,4,6,3,0,29,4,8,4,7,build,Chamber Of Commerce,4,0.5,0.5
18,P1,3,2,7,29,4,4,6,4,0,29,4,8,4,7,build,Siege Workshop,3,0.5,0.5
19,P2,3,4,7,29,4,4,6,4,0,30,4,8,4,8,build,Arsenal,0,0.5,0.5
20,P1,3,1,7,30,4,4,6,4,0,30,4,8,4,8,build,Arena,1,0.5,0.5
