Turn,CurrentPlayer,Phase,MilitaryPos,P1_Coins,P1_Cards,P1_Wonders,P1_Blue,P1_Green,P1_Red,P2_Coins,P2_Cards,P2_Wonders,P2_Blue,P2_Green,P2_Red,ActionType,CardName,CardIndex,StateValue,ExpectedReward
4,P1,2,7,3,12,4,4,3,1,7,12,4,1,2,3,build,Aqueduct,15,0.5,0.5
5,P2,2,7,3,12,4,4,3,1,7,13,4,1,2,3,build,Glass-Blower,16,0.5,0.5
6,P1,2,7,3,13,4,4,3,1,7,13,4,1,2,3,build,Drying Room,13,0.5,0.5
7,P2,2,7,3,13,4,4,3,1,7,14,4,1,2,3,build,Brickyard,11,0.5,0.5
8,P1,2,7,3,14,4,4,3,2,7,14,4,1,2,3,build,Archery Range,12,0.5,0.5
9,P2,2,9,3,14,4,4,3,2,7,15,4,1,2,3,build,Brewery,6,0.5,0.5
10,P1,2,9,3,15,4,4,4,2,7,15,4,1,2,3,build,Laboratory,14,0.5,0.5
11,P2,2,9,3,15,4,4,4,2,7,16,4,2,2,3,build,Statue,9,0.5,0.5
12,P1,2,9,3,16,4,4,4,3,7,16,4,2,2,3,build,Parade Ground,8,0.5,0.5
13,P2,2,11,3,16,4,4,4,3,7,17,4,2,3,3,build,School,0,0.5,0.5
14,P1,2,11,3,17,4,4,4,4,7,17,4,2,3,3,build,Horse Breeders,10,0.5,0.5
15,P2,2,12,3,17,4,4,4,4,7,18,4,2,3,4,build,Walls,4,0.5,0.5
16,P1,2,10,3,18,4,4,4,4,7,18,4,2,3,4,build,Sawmill,7,0.5,0.5
17,P2,2,10,3,18,4,4,4,4,7,19,4,2,3,4,build,Caravansery,3,0.5,0.5
18,P1,2,10,3,19,4,5,4,4,7,19,4,2,3,4,build,Temple,1,0.5,0.5
19,P2,2,10,3,19,4,5,4,4,7,20,4,2,3,4,build,Customs House,2,0.5,0.5
20,P1,2,10,3,20,4,5,4,4,7,20,4,2,3,4,build,Shelf Quarry,5,0.5,0.5
1,P2,3,10,3,20,4,5,4,4,7,21,4,2,4,4,build,Academy,19,0.5,0.5
2,P1,3,10,3,21,4,5,4,4,7,21,4,2,4,4,build,Lighthouse,18,0.5,0.5
3,P2,3,10,3,21,4,5,4,4,4,22,4,3,4,4,build,Senate,16,0.5,0.5
4,P1,3,10,3,22,4,5,4,4,4,22,4,3,4,4,build,Moneylenders Guild,17,0.5,0.5
5,P2,3,10,3,22,4,5,4,4,4,23,4,4,4,4,build,Gardens,14,0.5,0.5
6,P1,3,10,3,23,4,6,4,4,4,23,4,4,4,4,build,Palace,13,0.5,0.5
7,P2,3,10,3,23,4,6,4,4,12,23,4,4,4,4,sell,Pantheon,10,0.5,0.5
8,P1,3,10,3,24,4,7,4,4,12,23,4,4,4,4,build,Town Hall,7,0.5,0.5
9,P2,3,10,3,24,4,7,4,4,12,24,4,4,5,4,build,University,8,0.5,0.5
10,P1,3,10,3,25,4,7,5,4,12,24,4,4,5,4,build,Observatory,15,0.5,0.5
11,P2,3,10,3,25,4,7,5,4,12,25,4,4,5,4,build,Port,11,0.5,0.5
12,P1,3,10,3,26,4,7,5,4,12,25,4,4,5,4,build,Traders Guild,4,0.5,0.5
13,P2,3,10,3,26,4,7,5,4,12,26,4,4,6,4,build,Study,12,0.5,0.5
14,P1,3,10,3,27,4,7,5,5,12,26,4,4,6,4,build,Siege Workshop,9,0.5,0.5
15,P2,3,12,3,27,4,7,5,5,12,27,4,5,6,4,build,Obelisk,5,0.5,0.5
16,P1,3,12,3,28,4,7,5,5,12,27,4,5,6,4,build,Chamber Of Commerce,6,0.5,0.5
17,P2,3,12,3,28,4,7,5,5,12,28,4,5,6,5,build,Circus,3,0.5,0.5
18,P1,3,10,3,29,4,7,5,5,12,28,4,5,6,5,build,Armory,2,0.5,0.5
19,P2,3,10,3,29,4,7,5,5,12,29,4,5,6,5,build,Builders Guild,0,0.5,0.5
20,P1,3,10,3,30,4,7,5,6,12,29,4,5,6,5,build,Fortifications,1,0.5,0.5
